						
#station_barter						
Id	CorpProduceItems	CorpAdditionalConsumeItems	CivResProduceItems	CivResAdditionalConsumeItems	QuasiProduceItems	QuasiAdditionalConsumeItems
science_devices_1	research_disk quasisamples	quasiresearch_disk	0.04	1	96	
science_devices_2	bulb wire surgicalKit	medical_equipment medical_equipment	0.04	1	96	
science_devices_3	lens wire medical_components	scientific_equipment scientific_equipment	0.04	1	96	
science_devices_4	lens wire medical_components	chemical_analyzer chemical_analyzer	0.04	1	96	
science_devices_5	transformer lens	geoscanner_device geoscanner_device	0.04	1	96	
science_devices_6	capacitor electrical_parts_container	quasi_sensor_device quasi_sensor_device	0.04	1	96	
science_devices_7	transformer circuit_board	defibrillator_device defibrillator_device	0.04	1	96	
power_action_1	weapon_container armor_container		0.03	5	96	
power_action_2	packaged_security_robot military_unit		0.03	5	96	
power_action_3	nanorobot_grenade		0.03	5	96	
power_action_4	military_food_container		0.03	5	96	
power_action_5	military_food_container military_unit		0.03	5	96	
entertaiment_action_1	gunbang_magazine		0.03	1	96	
entertaiment_action_2	packaged_recreational_robot		0.03	1	96	
entertaiment_action_3	drug_cargo		0.03	1	96	
entertaiment_action_4	alcogol_container		0.03	1	96	
entertaiment_action_5	luxury_food_container		0.03	1	96	
spy_action_1	quasiresearch_disk		0.04	1	96	
spy_action_2	management_unit expert_disk		0.04	1	96	
spy_action_3	darknet_unit personalKey		0.04	1	96	
spy_action_4	ledgerBook		0.04	1	96	
spy_action_5	regular_food_container		0.04	1	96	
transit_1			0.01	0	48	
transit_2			0.01	0	48	
transit_3			0.01	0	48	
transit_4			0.01	0	48	
transit_5			0.01	0	48	
transit_6			0.01	0	48	
capital_asset_1			0.045	8	192	
quasi_prod_1			0.055	10	96	
quasi_prod_2			0.03	3	96	
resistant_prod_1			0.055	10	96	
resistant_prod_2			0.01	1	192	
#end						
